avg_entry_px,avg_exit_px,cps,entry_shares,exit_shares,first_entry_time,first_exit_time,id,last_entry_time,last_exit_time,pnl,side,symbol,price_ratio,price_ratio_z_score,pnl_z_score
5.37,2.85,-2.52,18621,18621,2018-01-05T16:00:00,2018-01-08T09:30:00,ad79fe4b,2018-01-05T16:00:00,2018-01-08T09:30:00,-46924.92,Long,AXON,1.8842105263157896,10.584373540541074,-30.621051652748513
6.55,4.6,-1.95,15267,15267,2018-01-10T16:00:00,2018-01-11T09:30:00,d4c19a82,2018-01-10T16:00:00,2018-01-11T09:30:00,-29770.65,Long,LEDS,1.423913043478261,5.071718239313827,-19.433146623945536
7.34,10.94,3.6,13623,13623,2018-01-26T16:00:00,2018-01-29T09:30:00,a8468b6b,2018-01-26T16:00:00,2018-01-29T09:30:00,49042.8,Long,IMMR,0.6709323583180987,-3.94619543725313,31.968480702213615
15.55,0.95,-14.6,6430,6430,2018-02-01T16:00:00,2018-02-02T09:30:00,a6be981a,2018-02-01T16:00:00,2018-02-02T09:30:00,-93878.0,Long,ACTA,16.36842105263158,184.05145280799314,-61.243549715900635
88.04,69.73,-18.31,1135,1135,2018-02-07T16:00:00,2018-02-08T09:30:00,b1c64353,2018-02-07T16:00:00,2018-02-08T09:30:00,-20781.85,Long,IRBT,1.262584253549405,3.139598160013286,-13.570708833068732
13.05,18.4,5.35,7662,7662,2018-02-08T16:00:00,2018-02-09T09:30:00,ba0eaf44,2018-02-08T16:00:00,2018-02-09T09:30:00,40991.7,Long,AOI,0.7092391304347827,-3.487422495284904,26.717604845800274
10.19,7.9,-2.29,9813,9813,2018-02-09T16:00:00,2018-02-12T09:30:00,2eead9a1,2018-02-09T16:00:00,2018-02-12T09:30:00,-22471.77,Long,CLGN,1.2898734177215188,3.4664210542252953,-14.672863833909616
5.43,2.51,-2.92,18416,18416,2018-02-13T16:00:00,2018-02-14T09:30:00,e197abae,2018-02-13T16:00:00,2018-02-14T09:30:00,-53774.72,Long,TTPH,2.1633466135458166,13.927387761576004,-35.088447342934955
9.04,16.06,7.02,11061,11061,2018-02-13T16:00:00,2018-02-14T09:30:00,fb9d4028,2018-02-13T16:00:00,2018-02-14T09:30:00,77648.22,Long,FOSL,0.5628891656288917,-5.240151848372382,50.62475242167596
39.9,29.25,-10.65,2506,2506,2018-02-26T16:00:00,2018-02-27T09:30:00,ab58a924,2018-02-26T16:00:00,2018-02-27T09:30:00,-26688.9,Long,NTRI,1.3641025641025641,4.355410702355695,-17.42324901113464
18.8,12.5,-6.3,5319,5319,2018-03-01T16:00:00,2018-03-02T09:30:00,825cff18,2018-03-01T16:00:00,2018-03-02T09:30:00,-33509.7,Long,AFH,1.504,6.030862709770456,-21.871731087052723
6.11,8.43,2.32,16366,16366,2018-03-07T16:00:00,2018-03-08T09:30:00,8af7e809,2018-03-07T16:00:00,2018-03-08T09:30:00,37969.12,Long,NETE,0.7247924080664295,-3.301151960284345,24.746297528032787
3.45,5.1,1.65,28985,28985,2018-03-13T16:00:00,2018-03-14T09:30:00,5d0698e1,2018-03-13T16:00:00,2018-03-14T09:30:00,47825.25,Long,RFIL,0.6764705882352942,-3.879867999778919,31.174402390060486
15.59,1.99,-13.6,6414,6414,2018-03-27T16:00:00,2018-03-28T09:30:00,820bc4eb,2018-03-27T16:00:00,2018-03-28T09:30:00,-87230.4,Long,EDGE,7.834170854271357,81.84281306490739,-56.90802757071633
51.02,25.39,-25.63,1960,1960,2018-03-28T16:00:00,2018-03-29T09:30:00,17f36b13,2018-03-28T16:00:00,2018-03-29T09:30:00,-50234.8,Long,BRO,2.0094525403702246,12.084307992620742,-32.77973419049185
6.01,4.37,-1.64,16638,16638,2018-04-04T16:00:00,2018-04-05T09:30:00,fb8cef60,2018-04-04T16:00:00,2018-04-05T09:30:00,-27286.32,Long,CNAT,1.3752860411899313,4.489347246765582,-17.81288250893475
7.32,4.5,-2.82,13661,13661,2018-04-05T16:00:00,2018-04-06T09:30:00,e6eff9da,2018-04-05T16:00:00,2018-04-06T09:30:00,-38524.02,Long,NLNK,1.6266666666666667,7.499954059380467,-25.14203847664303
83.07,65.99,-17.08,1203,1203,2018-04-05T16:00:00,2018-04-06T09:30:00,3616cb98,2018-04-05T16:00:00,2018-04-06T09:30:00,-20547.24,Long,INCY,1.258827095014396,3.094601346674468,-13.41769769363771
